S052808002-RH_SEARCH		DSP09b
S052908001-RH_SEARCH		DSP09a
S052908001-RH_SEARCH		DSP10b
S053008001-RH_SEARCH		DSP09a
S053008001-RH_SEARCH		DSP10a
S060508001-RH_SEARCH		DSP09a
S060508001-RH_SEARCH		DSP10a
S062508001-RH_SEARCH		DSP10a
S082708001-RH_SEARCH		DSP09a
S082708001-RH_SEARCH		DSP11a
S082708001-RH_SEARCH		DSP12a
S082708001-RH_SEARCH		DSP13a
S090308001-RH_SEARCH		DSP09a
S090308001-RH_SEARCH		DSP10a
S090308001-RH_SEARCH		DSP11a
S090308001-RH_SEARCH		DSP12a
S090308001-RH_SEARCH		DSP13a
S090508001-RH_SEARCH		DSP12a
S090808001-RH_SEARCH		DSP13a
S090808001-RH_SEARCH		DSP14a
S090808001-RH_SEARCH		DSP15a
S090808001-RH_SEARCH		DSP16a
S091008001-RH_SEARCH		DSP13a
S091008001-RH_SEARCH		DSP14a
S091008001-RH_SEARCH		DSP15a
S091008001-RH_SEARCH		DSP16a
S091208001-RH_SEARCH		DSP09a
S091208001-RH_SEARCH		DSP10a
S091208001-RH_SEARCH		DSP11a
S091208001-RH_SEARCH		DSP12a
S091208001-RH_SEARCH		DSP13a
